"","date","time","post_id","title","description","total_clicks","other_clicks","photo_views","link_clicks","three_second_video_plays","comments","likes","shares","engagements","reach","impressions","hidden_unique_negative_comments","all_hidden_unique_negative_comments"
"1","02/07/2022","09:02",477989587183649,"","What goes in a soup, salad, or sandwich is a social construct. 

A roadmap to every discussion of this type.
""Is X a Y? (Despite falling outside of it by obvious convention.)""
""No, (I say this intuitively because it's against my unexpressed usage conventions)""
""But it follows some abstract rule that you might use to define that linguistic category! If you don't accept that rule, what rule do you accept?""
*Foolish sod tried to come up with some rule, falling for the idealist trap.*
""But there's a counterexample to that rule, or that rule would include such or such unconventional thing that doesn't fall into the category""
Continue ad nauseum.

The whole mess came from trying to define some platonic form of soups or whatever, when what goes in a soup, salad, or sandwich is a social construct. We just call things soups cuz that's what we call things like that.",84,68,16,NA,0,5,77,10,92,2395,2521,NA,NA
"2","02/07/2022","14:02",478117630504178,"Actualización de estado","",99,32,67,NA,0,0,36,6,42,1256,1322,NA,NA
"3","02/07/2022","19:02",478227480493193,"","OC
When your prayer has whack error bars",17,11,6,NA,0,2,24,0,26,901,936,NA,NA
"4","02/08/2022","10:02",478629433786331,"Meme Symposium","",103,70,33,NA,0,2,99,10,111,1789,1889,NA,NA
"5","02/08/2022","17:02",478782297104378,"Fotos de Philosopher Games","",56,34,22,NA,0,1,50,6,57,1098,1117,NA,NA
"6","02/09/2022","18:02",479382817044326,"Actualización de estado","Shilled for a copy with these in it. Worth it.",115,63,52,NA,0,0,37,10,47,1251,1325,NA,NA
"7","02/11/2022","11:02",480564756926132,"","OC",100,40,60,NA,0,1,42,6,49,1372,1445,NA,NA
"8","02/11/2022","13:02",480618890254052,"","",46,30,16,NA,0,0,60,8,68,1225,1289,NA,NA
"9","02/11/2022","17:02",480690693580205,"Animal Memeposting 2.0","",68,67,NA,1,342,3,38,0,41,963,1003,NA,NA
"10","02/12/2022","15:02",481318976850710,"Actualización de estado","",96,57,39,NA,0,4,33,10,47,1796,1870,NA,NA
"11","02/13/2022","10:02",481857076796900,"Actualización de estado","The industrial revolution and its consequences have been a disaster for the human race.",84,62,22,NA,0,1,43,7,51,1133,1189,NA,NA
"12","02/13/2022","15:02",482004540115487,"","OC",199,45,154,NA,0,1,52,6,59,2071,2167,NA,NA
"13","02/15/2022","07:02",483089210007020,"Actualización de estado","",37,21,16,NA,0,0,31,3,34,873,873,NA,NA
"14","02/15/2022","19:02",483359929979948,"","Not OC",60,42,18,NA,0,0,94,15,109,2246,2348,NA,NA
"15","02/15/2022","22:02",483424239973517,"Actualización de estado","",30,17,13,NA,0,0,14,4,18,1023,1061,NA,NA
"16","02/16/2022","08:02",483698589946082,"","NONTEMPORAL ENTITIES THE MOST TOXIC FANDOM CONFIRMED!
o.c.",170,128,42,NA,0,18,124,27,169,4399,4469,NA,1
"17","02/16/2022","18:02",483960283253246,"Actualización de estado","",142,48,94,NA,0,0,27,2,29,1586,1636,NA,NA
"18","02/16/2022","23:02",484073473241927,"Actualización de estado","",30,23,7,NA,0,0,23,4,27,1253,1277,NA,NA
"19","02/17/2022","11:02",484444206538187,"","Probably already been done",189,56,133,NA,0,2,52,7,61,1770,1821,NA,NA
"20","02/17/2022","19:02",484618739854067,"Actualización de estado","",273,204,69,NA,0,5,107,13,125,2193,2274,NA,NA
"21","02/17/2022","19:02",484631599852781,"","Biblically accurate Krebs
OC",10,7,3,NA,0,0,14,3,17,1081,1122,NA,NA
"22","02/17/2022","21:02",484669769848964,"Actualización de estado","",62,23,39,NA,0,1,22,5,28,1464,1538,NA,NA
"23","02/18/2022","10:02",485011236481484,"Actualización de estado","",47,34,13,NA,0,0,18,2,20,1392,1434,NA,NA
"24","02/18/2022","20:02",485221826460425,"","Pyruvate lil beitch 
OC",29,21,8,NA,0,1,35,5,41,1458,1543,NA,NA
"25","02/19/2022","12:02",485642539751687,"","",34,8,26,NA,0,0,53,1,54,1526,1547,NA,NA
"26","02/19/2022","20:02",485826379733303,"","""Bruh you're like 3 hours late bringing the acetyl group. What were you doing?
OC",6,1,5,NA,0,1,4,2,7,1122,1130,NA,NA
"27","02/20/2022","21:02",486438353005439,"","",4138,3265,873,NA,0,205,2306,339,2850,62620,65886,4,NA
"28","02/21/2022","14:02",486912782957996,"Actualización de estado","Dore is always so gud",13,11,2,NA,0,1,12,3,16,1119,1171,NA,NA
"29","02/21/2022","16:02",486969592952315,"Giant bear known as 'Hank the Tank' burglarizes another Lake Tahoe home; 40 break-ins since July","absolute unit",38,20,NA,18,0,2,40,3,45,1309,1401,NA,NA
"30","02/22/2022","04:02",487302769585664,"Actualización de estado","",147,81,66,NA,0,2,46,8,56,1964,2063,1,NA
"31","02/22/2022","19:02",487682696214338,"","",2327,1752,575,NA,0,139,690,145,974,16796,17400,1,NA
"32","02/23/2022","21:02",488320592817215,"","Guys WWIII just dropped!",12,3,9,NA,0,1,13,3,17,498,538,NA,NA
"33","02/23/2022","21:02",488325859483355,"Actualización de estado","",56,32,24,NA,0,0,53,3,56,1628,1737,NA,NA
"34","02/24/2022","07:02",488578592791415,"Actualización de estado","",39,28,11,NA,0,0,21,3,24,879,951,NA,NA
"35","02/24/2022","14:02",488781929437748,"Actualización de estado","",70,38,32,NA,0,4,27,2,33,1100,1172,NA,NA
"36","02/24/2022","16:02",488813276101280,"","Dang, there were other forms of power than money?",357,117,240,NA,0,4,33,5,42,2085,2251,NA,NA
"37","02/25/2022","23:02",489589152690359,"Actualización de estado","",609,314,295,NA,0,2,51,2,55,2006,2121,NA,NA
"38","02/26/2022","13:02",490035142645760,"Actualización de estado","",102,67,35,NA,0,0,43,9,52,1432,1504,NA,NA
"39","02/27/2022","16:02",490716542577620,"","oC",40,22,18,NA,0,0,43,8,51,1852,1933,NA,NA
"40","02/27/2022","18:02",490757342573540,"Wild Green Memes for Ecological Fiends","",46,10,36,NA,0,0,23,3,26,1673,1743,NA,NA
"41","02/27/2022","19:02",490783675904240,"Actualización de estado","We want justice",37,27,10,NA,0,6,39,5,50,1351,1461,NA,NA
"42","02/27/2022","20:02",490818562567418,"Actualización de estado","Someone has been plagiarizing me",129,66,63,NA,0,1,19,1,21,1840,1959,NA,NA
"43","02/28/2022","10:02",491251602524114,"Actualización de estado","",243,243,NA,NA,0,12,37,7,56,2009,2051,NA,NA
"44","02/28/2022","14:02",491333909182550,"","Blatantly stolen",79,52,27,NA,0,12,51,8,71,2246,2430,NA,NA
"45","02/28/2022","18:02",491434475839160,"Fotos de la biografía","Body with too many organs",39,32,7,NA,0,1,15,0,16,1028,1032,NA,NA
"46","02/28/2022","19:02",491457909170150,"Actualización de estado","",19,12,7,NA,0,0,29,2,31,1074,1101,NA,NA
"47","03/02/2022","14:03",492606642388610,"Actualización de estado","",178,124,54,NA,0,0,140,27,167,2282,2416,NA,NA
"48","03/02/2022","21:03",492770609038880,"Actualización de estado","",78,49,29,NA,0,0,38,5,43,1584,1605,NA,NA
"49","03/02/2022","21:03",492777095704898,"Actualización de estado","",99,56,43,NA,0,0,61,12,73,1556,1590,NA,NA
"50","03/02/2022","21:03",492783785704229,"Actualización de estado","",132,59,73,NA,0,3,98,12,113,1617,1662,NA,NA
